id;source_type;mc_campaingn_id;tml_campaign_id;lat;lng;radius;open_angle;directional_angle;create_date;create_uid;last_update;last_update_uid
1;Israeli;ADP;interfaces Bran;bus virtual;input Awesome;83370;84198;14891;2022-04-19T05:40:02;HTTP Licensed C;2022-04-19T01:43:42;copying Associa
2;Accountability TCP;Factors;Shoes metrics;sensor;microchip;68009;97167;15729;2022-04-18T18:56:13;Trafficway;2022-04-19T05:27:56;Minnesota morph
3;revolutionary calcul;payment frictio;Kids virtual;Dynamic schemas;Steel;28755;1908;82999;2022-04-19T11:11:06;proactive Commu;2022-04-18T23:39:07;primary Account
4;Automotive discrete;connecting;1080p Down-size;AGP world-class;Plastic enable;25427;8520;97029;2022-04-19T09:59:41;Central;2022-04-19T08:32:27;XML Circles imp
5;Account;Officer;salmon plum;withdrawal;bluetooth Proac;25676;43236;80377;2022-04-19T06:10:38;Steel bus;2022-04-19T02:18:43;Central Unbrand
6;Buckinghamshire appl;Virginia Maryla;portals;mindshare Gorge;Metrics Table;61867;4502;69758;2022-04-19T07:58:56;utilize Assista;2022-04-19T13:12:58;concept multi-b
7;seamless Unions;Pizza;Home Bedfordshi;EXE Berkshire b;Planner conting;46226;88672;7964;2022-04-19T01:20:03;New auxiliary c;2022-04-19T08:46:54;Optional Distri
8;Multi-layered New or;Fresh Tugrik;synthesizing sy;Product Ball Ma;viral synergize;32146;78557;10692;2022-04-18T16:02:45;Dale;2022-04-18T15:31:41;leading Junctio
9;Account;Computers Home;Borders SQL;Tennessee invoi;cutting-edge;65051;91190;57720;2022-04-19T06:00:33;well-modulated ;2022-04-18T17:15:10;programming
10;Electronics Division;hacking archite;Mountain;calculate backi;Wooden;53443;33684;96922;2022-04-19T05:55:52;Mexico;2022-04-19T04:32:26;payment Marylan
