id;signal_connection_strength;create_date;create_uid;last_update;last_update_uid;coordinate_id;object_id
1;91514;2022-04-19T01:08:34;maroon;2022-04-19T10:17:01;CFP Networked D;1;1
2;50872;2022-04-19T09:17:31;Customer 24/7;2022-04-19T14:48:41;compressing ove;2;2
3;15464;2022-04-18T15:46:54;Dynamic instruc;2022-04-18T18:50:08;Consultant;3;3
4;75493;2022-04-19T11:38:39;Frozen synthesi;2022-04-18T20:54:29;Buckinghamshire;4;4
5;41119;2022-04-18T17:19:27;Fantastic;2022-04-19T11:37:16;Incredible Stra;5;5
6;43745;2022-04-18T21:30:48;card Grocery;2022-04-19T12:26:03;Fish Loan Loan;6;6
7;37964;2022-04-19T02:02:24;Fantastic Conne;2022-04-19T05:06:48;deliverables Av;7;7
8;28070;2022-04-19T09:43:23;Illinois;2022-04-19T01:21:30;Credit Home gen;8;8
9;78876;2022-04-19T07:32:51;backing Steel w;2022-04-18T17:46:54;Supervisor;9;9
10;63543;2022-04-19T06:53:18;reinvent Cambri;2022-04-19T07:14:21;Borders;10;10
