id;mc_user_id;type;create_date;create_uid;last_update;last_update_uid
1;Iowa;Electronics withdrawal Kwacha;2022-04-19T01:37:19;Plastic;2022-04-19T01:03:00;Checking
2;Producer Developer intermediate;web-enabled Generic morph;2022-04-18T19:15:48;Shoes Handmade ;2022-04-19T12:43:49;Baby
3;Well alarm;turquoise;2022-04-19T05:51:57;deposit;2022-04-19T13:05:03;Account Bike
4;Borders;olive integrate;2022-04-18T16:34:50;invoice eyeball;2022-04-18T16:54:11;cohesive Granit
5;payment Borders;infomediaries;2022-04-18T19:26:51;repurpose;2022-04-19T05:46:44;Shoes Concrete 
6;Lead;Kansas Buckinghamshire SSL;2022-04-19T12:20:37;24/365 violet;2022-04-19T05:42:57;pixel
7;HTTP lavender;deploy capacitor Brand;2022-04-19T08:26:06;Granite Factors;2022-04-18T18:40:45;Avon Steel GB
8;regional back-end Plastic;Executive rich deposit;2022-04-18T23:45:01;withdrawal Acco;2022-04-19T08:22:37;Coordinator
9;hacking;Finland collaborative;2022-04-19T01:05:24;HDD Meadow Chee;2022-04-18T16:37:56;PNG
10;Bike;York Minnesota Credit;2022-04-19T05:31:00;synthesize;2022-04-19T13:40:43;platforms
