id;create_date;create_uid;last_update;last_update_uid;tracking_list_id;mc_target_id
1;2022-04-18T21:45:46;invoice;2022-04-18T17:33:49;Cotton regional;1;1
2;2022-04-18T15:23:24;calculate;2022-04-19T13:07:57;parsing Focused;2;2
3;2022-04-19T06:01:36;blockchains fuc;2022-04-19T07:12:39;payment compres;3;3
4;2022-04-18T16:36:35;Strategist Avon;2022-04-19T11:03:40;Rubber Salad;4;4
5;2022-04-19T12:29:31;Chips connectin;2022-04-18T21:23:16;quantifying;5;5
6;2022-04-19T10:55:46;incubate paymen;2022-04-18T22:10:37;Account invoice;6;6
7;2022-04-19T03:38:04;Metal USB Surin;2022-04-19T03:56:40;Handmade Enhanc;7;7
8;2022-04-19T00:37:40;XSS;2022-04-18T19:46:45;Central Investm;8;8
9;2022-04-18T21:01:25;Port Wooden Dol;2022-04-19T06:56:18;Handcrafted Hom;9;9
10;2022-04-19T08:47:56;Quality Lari op;2022-04-19T09:23:13;Guam navigate A;10;10
