id;mc_user_id;warning_distance;show_warning_circle;show_warning_message;warning_message;send_warning_message_to_mc;create_date;create_uid;last_update;last_update_uid;warning_rule_id
1;interface neura;methodical adapter Human;true;true;methodology Soft system;false;2022-04-19T03:26:02;Credit;2022-04-19T00:29:58;Electronics aux;1
2;out-of-the-box ;schemas grey;true;false;SAS Cheese Metal;true;2022-04-19T01:41:13;1080p;2022-04-19T08:22:10;Rubber Buckingh;2
3;Team-oriented q;City;true;false;Savings Health;false;2022-04-19T08:42:29;synthesize Supe;2022-04-19T14:51:48;Plastic revolut;3
4;Pennsylvania Pr;hacking;true;true;analyzing XML;true;2022-04-19T03:34:29;Team-oriented;2022-04-18T20:47:10;productize;4
5;Tuna;Administrator synergistic;false;false;Assistant Loan;true;2022-04-18T18:23:43;matrices market;2022-04-18T20:47:24;Tuna FTP;5
6;bottom-line;Avon Turkmenistan;true;true;Sausages;false;2022-04-19T02:22:25;Account Zimbabw;2022-04-18T18:44:35;transmit Open-a;6
7;model Senior;Cotton Configuration AGP;true;false;channels;true;2022-04-19T05:09:39;disintermediate;2022-04-19T06:51:05;Pound reboot TC;7
8;Devolved Car co;Dominican;true;false;primary Hills sky;false;2022-04-18T22:02:16;matrices withdr;2022-04-18T21:57:59;multi-state;8
9;deposit;compress infomediaries attitude;false;false;Outdoors;true;2022-04-18T19:22:50;Buckinghamshire;2022-04-19T13:52:37;artificial Smal;9
10;Extended Fall;Shirt Account;true;false;optimize;true;2022-04-19T14:35:28;Fresh navigatin;2022-04-18T23:22:00;Shoes drive;10
